SILO: no contention
Cores   txns/sec
1       246894.925964   0
8       2019330.969376  0
16      3991366.599797  0
32      7769836.060616  0
48      11302978.466789 0
64      13438194.337777 0
80      15903417.956466 0
96      18864848.407683 0


#SILO: med contention
#Cores   txns/sec
1       40635.290506    0
8       328974.706559   148
16      649201.270636   640
32      1266165.864853  2596
48      1113413.472931   2116
64      1148157.245340  4447
80      1672369.664155  8192
96      715668.776304   4371


#SILO: high contention
#Cores   txns/sec
1       41083.555777    0
8       292421.894156   32336
16      505139.878990   128833
32      457457.547725   257104
48      466596.978836   105212
64      499983.507741   449415
80      210343.084988   220863
96      175250.221831   254472
