# SILO: no contention
# Cores	Txns/sec	Aborts
1	481871.279653	0.000000
15	6544124.827583	0.000000
30	9979643.942948	0.000000
45	14206028.970423	0.000000
60	21389469.216737	0.000000
75	26297928.816778	0.000000
90	32360818.356716	0.000000
105	37501713.025464	0.000000
120	43468641.767726	0.000000
135	47719963.580393	0.000000
150	52032234.617258	0.000000
165	56794336.758351	0.000000
180	59383188.101429	0.000000
195	63963677.590511	0.000000
210	68914483.635759	0.000000
225	72144473.591796	0.000000
240	75525851.046728	0.000000



# SILO: med contention
# Cores	Txns/sec	Aborts
1	78219.529524	0.000000
15	1248864.603504	1158.788896
30	1619943.118127	3111.649383
45	2267809.048868	6574.645296
60	2941088.016730	11429.426723
75	3607143.829889	17481.375175
90	4277943.822948	24967.295479
105	4953681.489899	33733.214508
120	5698832.989004	44420.934698
135	6260405.144938	54860.801673
150	6730328.566036	65710.268455
165	7412646.164279	79693.353175
180	7806951.498731	91669.719938
195	8244510.015818	104954.390824
210	9013201.295562	123644.388883
225	9331546.792502	137034.786958
240	9811573.503291	153598.543704



# SILO: high contention
# Cores	Txns/sec	Aborts
1	87347.824803	0.000000
15	1229519.373985	234381.183919
30	1510445.836130	525353.417354
45	1738064.172427	889667.699338
60	1842040.912006	1361387.566993
75	1408372.077702	1710613.629109
90	1020254.951752	1672624.361995
105	773784.780560	1536803.202103
120	739485.807902	1591196.470463
135	733398.846177	1708907.572866
150	689067.840577	1805881.773561
165	666187.738828	1901693.067507
180	656617.360255	2042004.577054
195	618116.656156	2108964.897122
210	610679.352889	2210463.555820
225	593970.995023	2300575.516103
240	588750.599841	2410918.743915


# Original implementation
# SILO: no contention
# Cores   txns/sec
1       477677.417752   0
15      6147722.714045  0
30      9878963.237948  0
45      15243195.534342 0
60      21120089.315915 0
75      24716999.664563 0
90      31099948.107720 0
105     35130654.510552 0
120     38581518.891440 0
135     42809244.291821 0
150     46952316.277224 0
165     48286417.011576 0
180     55050894.054350 0
195     58857199.239138 0
210     59002531.798780 0
225     65237659.171812 0
240     63311241.200689 0


# SILO: med contention
# Cores   txns/sec
1       79894.673254    0
15      1218476.797960  1116
30      1621347.694305  3105
45      2182498.217692  6318
60      2881572.113516  11072
75      3395938.903651  16323
90      4047801.416270  23543
105     4663213.623804  31658
120     5063905.363576  39271
135     5464562.255806  47703
150     5951671.047239  57683
165     6580990.035636  69972
180     7070633.165370  81873
195     6690067.549999  83935
210     8211186.090953  110532
225     8457801.034731  122650
240     8562233.381138  132143


# SILO: high contention
# Cores   txns/sec
1       92483.402235    0
15      1278493.987988  248996
30      1619995.115893  598929
45      1828096.752654  1168285
60      792694.759443   1029008
75      572143.698892   875407
90      382602.268874   644093
105     328525.519287   609788
120     255968.186267   486069
135     243696.578260   487690
150     211348.003684   479806
165     230328.582633   506448
180     210922.737368   515348
195     198382.705287   511205
210     217762.423021   537148
225     194992.175558   523865
240     186428.571020   524567

