# TICTOC: no contention
# Cores	Txns/sec	Aborts
1	465789.181953	0.000000
15	6371481.969705	0.000000
30	9847445.974651	0.000000
45	14399805.229664	0.000000
60	19659838.675747	0.000000
75	24584370.287566	0.000000
90	31632709.815882	0.000000
105	37011604.945473	0.000000
120	42601442.303083	0.000000
135	46995972.739755	0.000000
150	50933508.106936	0.000000
165	55455165.670559	0.000000
180	59420981.536946	0.000000
195	63799779.747098	0.000000
210	68084112.227240	0.000000
225	71402752.539794	0.000000
240	74896691.026027	0.000000



# TICTOC: med contention
# Cores	Txns/sec	Aborts
1	75652.630658	0.000000
15	1203989.390897	303.166451
30	1681049.406909	868.340532
45	2267382.281709	1793.575443
60	2990240.957291	3146.613794
75	3599789.056116	4756.587548
90	4296159.711001	6809.813038
105	4893277.593242	9031.051952
120	5626366.055616	11896.886747
135	6187884.903040	14757.067906
150	6599272.338247	17591.954450
165	7295811.930211	21299.789491
180	7301894.488243	23455.088160
195	7918944.674673	27422.195693
210	8880507.361021	33120.518978
225	8769574.047651	35302.523526
240	9664424.728217	41198.558563



# TICTOC: high contention
# Cores	Txns/sec	Aborts
1	84631.617611	0.000000
15	1211798.448330	152220.409877
30	1568011.929515	371918.690848
45	1828792.475263	653801.632481
60	1966994.937368	1048342.774942
75	1502465.432784	1374028.809445
90	1095223.063288	1305154.412875
105	975227.259908	1325347.587513
120	883515.146918	1322230.372866
135	891165.595453	1488841.764983
150	807876.797142	1721157.526341
165	782772.902877	1870161.741631
180	773721.689045	1944890.328586
195	787009.571111	1950865.166606
210	734741.497858	2165482.929584
225	717201.982639	2296094.936122
240	698179.331965	2325966.759412


# TICTOC: no contention
# Cores   txns/sec (no wait)
1       447687.693065   0
15      6052055.979917  0
30      9569031.738997  0
45      14776974.504915 0
60      18897021.980327 0
75      24302666.701808 0
90      28879776.016645 0
105     35080550.925167 0
120     36913034.974008 0
135     41768052.600164 0
150     46318132.854848 0
165     50097104.347547 0
180     56304325.090421 0
195     59569568.168259 0
210     63601921.222500 0
225     67328420.786686 0
240     63452412.623984 0


# TICTOC: med contention
# Cores   txns/sec (no-wait)
1       79993.843674    0
15      1220240.358729  108
30      1627317.905771  314
45      2147476.990227  626
60      2911023.390060  1148
75      3397253.953339  1634
90      4066413.866031  2376
105     4652959.928973  3185
120     5056399.573841  3971
135     5652673.592787  4936
150     6229031.011288  6102
165     6783598.140994  7308
180     7354463.521744  8624
195     7577367.539795  9717
210     8531844.861593  11770
225     8765890.884941  12960
240     8871752.134387  13962


# TICTOC: high contention
# Cores   txns/sec (no-wait)
1       91893.673139    0
15      1307898.182816  134453
30      1697476.898452  330563
45      2066900.110619  629556
60      1168248.528205  1101500
75      845644.183211   988002
90      523704.277482   658367
105     459944.244340   598489
120     333317.472923   432850
135     284549.071282   371206
150     280147.958607   361309
165     288312.045906   432167
180     256113.766129   352835
195     234890.020128   321119
210     264397.318960   428981
225     240546.897037   362256
240     234006.421138   359432

