# SILO: no contention
# Cores   txns/sec
1       507793.358571   0
16      8634472.573023  0
32      17525216.710918 0
48      26285562.472540 0
64      34400637.468170 0
80      40591490.055383 0
96      46253038.826579 0
112     51686286.338837 0
128     57268103.046550 0
144     59900086.455059 0
160     62573278.064258 0
176     65059537.039140 0
192     67272693.172139 0


# SILO: med contention
# Cores   txns/sec
1       67383.278853    0
16      1142658.898460  1162
32      2343060.344116  4916
48      3558482.245495  11301
64      4752420.101329  20280
80      5582602.422297  29750
96      6448398.484091  41346
112     7308196.554449  54753
128     8084000.878944  69246
144     8460294.029369  81874
160     9048571.800613  97435
176     9501800.554589  112984
192     10001800.554589  132984


# SILO: high contention
# Cores   txns/sec
1       66120.554963    0
16      955385.286157   214491
32      1697905.769072  791931
48      2228036.277409  1696718
64      2532289.549371  2986479
80      2396085.231036  4537291
96      2232785.685629  5990338
112     2052672.676622  7030273
128     1900152.949017  7608617
144     1819734.004318  8440507
160     1735194.328829  9353663
176     1550581.395873  9374908
192     1422384.838271  9894299


# SILO: no contention
# Cores   txns/sec
1       507180.149375   0
16      8721356.671752  0
32      17667635.505580 0
48      26423262.257780 0
64      35103029.063681 0
80      41015046.681313 0
96      46507754.528901 0
112     52786704.277477 0
128     58217608.208832 0
144     60880076.454414 0
160     63476947.820576 0
176     66404150.773187 0
192     68737471.615596 0


# SILO: med contention
# Cores   txns/sec
1       68428.556003    0
16      1166540.982222  1159
32      2383043.207219  4907
48      3608869.898976  11143
64      4829989.491785  19999
80      5676647.825811  29516
96      6562503.220496  41011
112     7408301.327167  54043
128     8259508.960394  68913
144     8688946.480039  81695
160     9178558.738160  96288
176     9683792.160289  112156
192     10029182.181839  121398


# SILO: high contention
# Cores   txns/sec
1       66910.273591    0
16      1017955.296433  229443
32      1864087.478202  911930
48      2407705.271180  2185840
64      598930.469365   900645
80      516201.048408   882848
96      443782.273306   816796
112     395042.236018   786275
128     351888.432761   746533
144     319287.671555   718360
160     297906.812901   705991
176     276690.564475   686190
192     242392.282192   682671
