# 0.1% update
1	1.79
2	3.70
4	6.12
8	13.67
16	30.72
32	65.68
48	97.94
64	126.27
80	147.04
96	164.32
112	184.61
128	207.09
144	228.57
160	237.56
176	251.68
192	259.68
208	276.78
224	287.41
240	292.59
256	309.52


# 1% update
1	1.77
2	3.62
4	6.02
8	13.76
16	31.31
32	71.41
48	115.11
64	155.80
80	186.01
96	216.84
112	250.59
128	279.32
144	307.45
160	325.58
176	346.52
192	366.77
208	385.09
224	383.98
240	419.87
256	434.79


# 10% update
1	1.75
2	3.34
4	5.27
8	11.41
16	25.69
32	58.63
48	93.60
64	127.39
80	141.03
96	159.17
112	175.78
128	193.99
144	201.96
160	209.79
176	214.71
192	219.26
208	229.14
224	234.28
240	241.74
256	244.62


# 50% update
1	1.65
2	2.84
4	4.21
8	8.41
16	17.36
32	37.99
48	61.03
64	80.41
80	86.54
96	94.68
112	103.41
128	109.44
144	116.06
160	119.39
176	120.47
192	124.14
208	123.27
224	125.80
240	124.53
256	128.41


# 100% update
1	1.59
2	2.57
4	3.64
8	6.66
16	13.34
32	27.52
48	42.60
64	56.22
80	61.58
96	66.81
112	73.02
128	77.60
144	80.54
160	81.82
176	85.97
192	87.17
208	87.82
224	86.93
240	88.08
256	87.21
